,Gene Name,Uniprot Number,Subcellular Location
6164,MAP3K1,Q13233,Cytosol
6169,MAP3K10,Q02779,Cytoplasm
6171,MAP3K11,Q16584,Cytoskeleton
6172,MAP3K11,Q16584,Cytoplasm
6173,MAP3K11,Q16584,Microtubule Organizing Center
6174,MAP3K11,Q16584,Membrane
6175,MAP3K11,Q16584,Microtubule
6176,MAP3K11,Q16584,Centrosome
6179,MAP3K12,Q12852,Plasma Membrane
6180,MAP3K12,Q12852,Cytoplasm
6181,MAP3K12,Q12852,Membrane
6188,MAP3K12,Q12852,Cytosol
6189,MAP3K12,Q12852,Growth Cone
6190,MAP3K12,Q12852,Axon
6194,MAP3K13,O43283,Membrane
6195,MAP3K13,O43283,Cytoplasm
6200,MAP3K14,Q99558,Cytoplasm
6201,MAP3K14,Q99558,Cytosol
6221,MAP3K14,Q99558,Intracellular Membrane-Bounded Organelle
6223,MAP3K14,Q99558,Nucleoplasm
6224,MAP3K14,Q99558,Fibrillar Center
6230,MAP3K19,Q56UN5,Cytoplasm
6232,MAP3K2,Q9Y2U5,Nucleus
6233,MAP3K2,Q9Y2U5,Cytoplasm
6237,MAP3K2,Q9Y2U5,Cytosol
6238,MAP3K2,Q9Y2U5,Nucleoplasm
6242,MAP3K20,Q9NYL2,Cytoplasm
6243,MAP3K20,Q9NYL2,Cytosol
6245,MAP3K20,Q9NYL2,Nucleus
6253,MAP3K3,Q99759,Cytoplasm
6254,MAP3K3,Q99759,Cytosol
6256,MAP3K4,Q9Y6R4,Cytoplasm
6257,MAP3K4,Q9Y6R4,Perinuclear Region Of Cytoplasm
6262,MAP3K5,Q99683,Protein-Containing Complex
6263,MAP3K5,Q99683,Protein Kinase Complex
6264,MAP3K5,Q99683,Cytosol
6267,MAP3K5,Q99683,External Side Of Plasma Membrane
6269,MAP3K5,Q99683,Cytoplasm
6271,MAP3K5,Q99683,Endoplasmic Reticulum
6277,MAP3K7,O43318,Nucleus
6278,MAP3K7,O43318,Ikappab Kinase Complex
6279,MAP3K7,O43318,Endosome Membrane
6284,MAP3K7,O43318,Cytosol
6313,MAP3K7,O43318,Plasma Membrane
6315,MAP3K7,O43318,Membrane
6317,MAP3K7,O43318,Cytoplasm
6321,MAP3K8,P41279,Cytosol
6322,MAP3K8,P41279,Cytoplasm
6339,MAP4K1,Q92918,Membrane
6340,MAP4K1,Q92918,Cytoplasm
6342,MAP4K2,Q12851,Golgi Membrane
6343,MAP4K2,Q12851,Cytoplasm
6344,MAP4K2,Q12851,Cell
6345,MAP4K2,Q12851,Golgi Apparatus
6346,MAP4K2,Q12851,Membrane
6347,MAP4K2,Q12851,Plasma Membrane
6349,MAP4K2,Q12851,Basolateral Plasma Membrane
6353,MAP4K3,Q8IVH8,Cytoplasm
6355,MAP4K4,O95819,Cytoplasm
6357,MAP4K4,O95819,Focal Adhesion
6361,MAP4K5,Q9Y4K4,Cytoplasm
6366,MAPK1,P28482,Cytoplasm
6367,MAPK1,P28482,Cytoskeleton
6368,MAPK1,P28482,Membrane
6369,MAPK1,P28482,Nucleus
6371,MAPK1,P28482,Caveola
6372,MAPK1,P28482,Microtubule Organizing Center
6374,MAPK1,P28482,Spindle
6376,MAPK1,P28482,Plasma Membrane
6379,MAPK1,P28482,Mitotic Spindle
6380,MAPK1,P28482,Focal Adhesion
6383,MAPK1,P28482,Cytosol
6384,MAPK1,P28482,Golgi Apparatus
6385,MAPK1,P28482,Late Endosome
6386,MAPK1,P28482,Early Endosome
6387,MAPK1,P28482,Mitochondrion
6394,MAPK1,P28482,Azurophil Granule Lumen
6452,MAPK1,P28482,Nucleoplasm
6463,MAPK1,P28482,Extracellular Region
6465,MAPK1,P28482,Cell
6466,MAPK1,P28482,Pseudopodium
6471,MAPK1,P28482,Perikaryon
6472,MAPK1,P28482,Protein-Containing Complex
6473,MAPK1,P28482,Dendrite Cytoplasm
6474,MAPK1,P28482,Axon
6475,MAPK1,P28482,Postsynaptic Density
6482,MAPK10,P53779,Plasma Membrane
6483,MAPK10,P53779,Mitochondrion
6484,MAPK10,P53779,Cytoplasm
6485,MAPK10,P53779,Nucleus
6487,MAPK10,P53779,Nucleoplasm
6488,MAPK10,P53779,Cytosol
6492,MAPK10,P53779,Glutamatergic Synapse
6493,MAPK10,P53779,Perikaryon
6494,MAPK10,P53779,Neuron Projection
6498,MAPK10,P53779,Membrane
6505,MAPK11,Q15759,Cytoplasm
6506,MAPK11,Q15759,Nucleus
6507,MAPK11,Q15759,Cytosol
6513,MAPK11,Q15759,Nucleoplasm
6529,MAPK12,P53778,Cytoplasm
6530,MAPK12,P53778,Nucleus
6531,MAPK12,P53778,Cytosol
6534,MAPK12,P53778,Nucleoplasm
6536,MAPK12,P53778,Mitochondrion
6544,MAPK13,O15264,Cytoplasm
6545,MAPK13,O15264,Nucleus
6546,MAPK13,O15264,Cytosol
6549,MAPK14,Q16539,Cytoplasm
6550,MAPK14,Q16539,Nucleus
6555,MAPK14,Q16539,Nucleoplasm
6557,MAPK14,Q16539,Extracellular Region
6559,MAPK14,Q16539,Secretory Granule Lumen
6560,MAPK14,Q16539,Cytosol
6578,MAPK14,Q16539,Nuclear Speck
6580,MAPK14,Q16539,Glutamatergic Synapse
6582,MAPK14,Q16539,Mitochondrion
6585,MAPK14,Q16539,Cell
6586,MAPK14,Q16539,Spindle Pole
6592,MAPK15,Q8TD08,Nucleus
6593,MAPK15,Q8TD08,Cytoplasm
6594,MAPK15,Q8TD08,Cell-Cell Junction
6595,MAPK15,Q8TD08,Axoneme
6596,MAPK15,Q8TD08,Ciliary Basal Body
6599,MAPK15,Q8TD08,Centriole
6600,MAPK15,Q8TD08,Autophagosome
6601,MAPK15,Q8TD08,Golgi Apparatus
6602,MAPK15,Q8TD08,Extracellular Region
6605,MAPK15,Q8TD08,Meiotic Spindle
6606,MAPK15,Q8TD08,Cell Projection
6609,MAPK15,Q8TD08,Cytoplasmic Vesicle
6610,MAPK15,Q8TD08,Bicellular Tight Junction
6611,MAPK15,Q8TD08,Cytoskeleton
6612,MAPK15,Q8TD08,Cell Junction
6620,MAPK15,Q8TD08,Spindle
6622,MAPK3,P27361,Caveola
6623,MAPK3,P27361,Plasma Membrane
6624,MAPK3,P27361,Cytoplasm
6625,MAPK3,P27361,Nuclear Envelope
6626,MAPK3,P27361,Focal Adhesion
6628,MAPK3,P27361,Cytoskeleton
6629,MAPK3,P27361,Cytosol
6630,MAPK3,P27361,Golgi Apparatus
6631,MAPK3,P27361,Late Endosome
6632,MAPK3,P27361,Early Endosome
6633,MAPK3,P27361,Mitochondrion
6634,MAPK3,P27361,Nucleus
6695,MAPK3,P27361,Nucleoplasm
6706,MAPK3,P27361,Cell
6707,MAPK3,P27361,Protein-Containing Complex
6714,MAPK3,P27361,Pseudopodium
6719,MAPK3,P27361,Membrane
6724,MAPK4,P31152,Cytoplasm
6725,MAPK4,P31152,Nucleus
6732,MAPK4,P31152,Cytosol
6737,MAPK4,P31152,Nucleoplasm
6745,MAPK6,Q16659,Nucleus
6747,MAPK6,Q16659,Cytoplasm
6753,MAPK6,Q16659,Cytosol
6763,MAPK6,Q16659,Nucleoplasm
6775,MAPK6,Q16659,Protein-Containing Complex
6776,MAPK6,Q16659,Septin Cytoskeleton
6780,MAPK7,Q13164,Cytosol
6781,MAPK7,Q13164,Nucleus
6782,MAPK7,Q13164,Pml Body
6783,MAPK7,Q13164,Cytoplasm
6790,MAPK7,Q13164,Nucleoplasm
6803,MAPK8,P45983,Synapse
6804,MAPK8,P45983,Basal Dendrite
6805,MAPK8,P45983,Axon
6806,MAPK8,P45983,Nucleus
6807,MAPK8,P45983,Cytoplasm
6809,MAPK8,P45983,Cytosol
6818,MAPK8,P45983,Nucleoplasm
6823,MAPK8,P45983,Mitochondrion
6830,MAPK9,P45984,Cytoplasm
6831,MAPK9,P45984,Nucleus
6832,MAPK9,P45984,Cytosol
6834,MAPK9,P45984,Nucleoplasm
6838,MAPK9,P45984,Mitochondrion
6845,MAPKAPK2,P49137,Extracellular Exosome
6846,MAPKAPK2,P49137,Nucleus
6847,MAPKAPK2,P49137,Cytoplasm
6851,MAPKAPK2,P49137,Cytosol
6858,MAPKAPK2,P49137,Nucleoplasm
6862,MAPKAPK2,P49137,Centrosome
6871,MAPKAPK3,Q16644,Nucleus
6872,MAPKAPK3,Q16644,Cytoplasm
6874,MAPKAPK3,Q16644,Cytosol
6877,MAPKAPK3,Q16644,Nucleoplasm
6887,MAPKAPK5,Q8IW41,Nucleus
6888,MAPKAPK5,Q8IW41,Cytoplasm
6893,MAPKAPK5,Q8IW41,Cytosol
6903,MAPKAPK5,Q8IW41,Nucleoplasm
6916,MARK1,Q9P0L2,Plasma Membrane
6917,MARK1,Q9P0L2,Membrane
6918,MARK1,Q9P0L2,Cell Projection
6919,MARK1,Q9P0L2,Cytoskeleton
6920,MARK1,Q9P0L2,Cytoplasm
6923,MARK1,Q9P0L2,Dendrite
6927,MARK1,Q9P0L2,Microtubule Cytoskeleton
6933,MARK2,Q7KZI7,Mitochondrion
6934,MARK2,Q7KZI7,Microtubule Bundle
6935,MARK2,Q7KZI7,Lateral Plasma Membrane
6936,MARK2,Q7KZI7,Membrane
6937,MARK2,Q7KZI7,Plasma Membrane
6938,MARK2,Q7KZI7,Actin Filament
6939,MARK2,Q7KZI7,Cytoplasm
6941,MARK2,Q7KZI7,Nucleoplasm
6943,MARK2,Q7KZI7,Cytoskeleton
6946,MARK2,Q7KZI7,Cell Projection
6951,MARK2,Q7KZI7,Dendrite
6955,MARK3,P27448,Cytoplasm
6957,MARK3,P27448,Dendrite
6958,MARK3,P27448,Extracellular Exosome
6959,MARK3,P27448,Plasma Membrane
6962,MARK3,P27448,Cytosol
6994,MARK3,P27448,Cell Projection
6996,MARK3,P27448,Membrane
7001,MARK4,Q96L34,Ciliary Basal Body
7002,MARK4,Q96L34,Cytoplasm
7003,MARK4,Q96L34,Dendrite
7004,MARK4,Q96L34,Gamma-Tubulin Complex
7005,MARK4,Q96L34,Midbody
7006,MARK4,Q96L34,Centrosome
7007,MARK4,Q96L34,Neuron Projection
7008,MARK4,Q96L34,Microtubule Cytoskeleton
7009,MARK4,Q96L34,Microtubule Organizing Center
7012,MARK4,Q96L34,Cytosol
7018,MARK4,Q96L34,Cytoskeleton
7019,MARK4,Q96L34,Cell Projection
7026,MAST1,Q9Y2H9,Plasma Membrane
7027,MAST1,Q9Y2H9,Cytoskeleton
7028,MAST1,Q9Y2H9,Cytoplasm
7029,MAST1,Q9Y2H9,Membrane
7030,MAST1,Q9Y2H9,Cell Projection
7032,MAST1,Q9Y2H9,Axon
7033,MAST1,Q9Y2H9,Dendrite
7035,MAST1,Q9Y2H9,Neuronal Cell Body
7036,MAST1,Q9Y2H9,Neuron Projection
7041,MAST2,Q6P0Q8,Plasma Membrane
7042,MAST2,Q6P0Q8,Membrane
7043,MAST2,Q6P0Q8,Cytoplasm
7044,MAST2,Q6P0Q8,Cytoskeleton
7047,MAST2,Q6P0Q8,Microtubule Cytoskeleton
7051,MAST4,O15021,Cytoplasm
7054,MASTL,Q96GX5,Cleavage Furrow
7056,MASTL,Q96GX5,Centrosome
7057,MASTL,Q96GX5,Nucleus
7060,MASTL,Q96GX5,Nucleoplasm
7064,MASTL,Q96GX5,Cytoplasm
7065,MASTL,Q96GX5,Cytoskeleton
7067,MASTL,Q96GX5,Microtubule Organizing Center
7070,MATK,P42679,Cytoplasm
7071,MATK,P42679,Membrane
7073,MATK,P42679,Cytosol
7076,MELK,Q14680,Membrane
7077,MELK,Q14680,Plasma Membrane
7080,MELK,Q14680,Cell Cortex
7082,MELK,Q14680,Cytoplasm
7083,MELK,Q14680,Nucleus
7086,MERTK,Q12866,Integral Component Of Plasma Membrane
7087,MERTK,Q12866,Rhabdomere
7088,MERTK,Q12866,Cytoplasm
7090,MERTK,Q12866,Extracellular Space
7091,MERTK,Q12866,Receptor Complex
7093,MERTK,Q12866,Plasma Membrane
7094,MERTK,Q12866,Photoreceptor Outer Segment
7095,MERTK,Q12866,Membrane
7096,MERTK,Q12866,Integral Component Of Membrane
7099,MET,P08581,Cell Surface
7100,MET,P08581,Integral Component Of Plasma Membrane
7101,MET,P08581,Integral Component Of Membrane
7102,MET,P08581,Receptor Complex
7103,MET,P08581,Basal Plasma Membrane
7105,MET,P08581,Plasma Membrane
7167,MET,P08581,Extracellular Region
7168,MET,P08581,Membrane
7173,MINK1,Q8N4C8,Extracellular Exosome
7174,MINK1,Q8N4C8,Golgi Apparatus
7175,MINK1,Q8N4C8,Cytoplasm
7177,MINK1,Q8N4C8,Cytosol
7178,MINK1,Q8N4C8,Cell Projection
7179,MINK1,Q8N4C8,Synapse
7182,MINK1,Q8N4C8,Cell Junction
7184,MINK1,Q8N4C8,Postsynaptic Density
7186,MINK1,Q8N4C8,Axon
7187,MINK1,Q8N4C8,Dendrite
7189,MKNK1,Q9BUB5,Cytoplasm
7190,MKNK1,Q9BUB5,Nucleus
7191,MKNK1,Q9BUB5,Cytosol
7192,MKNK1,Q9BUB5,Nucleoplasm
7198,MKNK2,Q9HBH9,Nucleus
7199,MKNK2,Q9HBH9,Cytoplasm
7201,MKNK2,Q9HBH9,Pml Body
7204,MKNK2,Q9HBH9,Nuclear Body
7205,MKNK2,Q9HBH9,Nucleoplasm
7207,MLKL,Q8NB16,Plasma Membrane
7209,MLKL,Q8NB16,Cytoplasm
7210,MLKL,Q8NB16,Cytosol
7216,MLKL,Q8NB16,Membrane
7220,MOK,Q9UQ07,Ciliary Base
7221,MOK,Q9UQ07,Cilium
7222,MOK,Q9UQ07,Nucleus
7223,MOK,Q9UQ07,Cytoplasm
7231,MOK,Q9UQ07,Cell Projection
7236,MOS,P00540,Cytosol
7237,MOS,P00540,Cytoplasm
7238,MOS,P00540,Cell
7242,MST1R,Q04912,Cell Surface
7243,MST1R,Q04912,Integral Component Of Plasma Membrane
7244,MST1R,Q04912,Receptor Complex
7245,MST1R,Q04912,Basal Plasma Membrane
7247,MST1R,Q04912,Plasma Membrane
7251,MST1R,Q04912,Vacuole
7252,MST1R,Q04912,Stress Fiber
7253,MST1R,Q04912,Integral Component Of Membrane
7255,MST1R,Q04912,Membrane
7258,MTOR,P42345,Mitochondrion
7259,MTOR,P42345,Mitochondrial Outer Membrane
7260,MTOR,P42345,Golgi Apparatus
7261,MTOR,P42345,Nucleus
7262,MTOR,P42345,Endoplasmic Reticulum
7263,MTOR,P42345,Intracellular Membrane-Bounded Organelle
7264,MTOR,P42345,Lysosome
7265,MTOR,P42345,Cytoplasm
7268,MTOR,P42345,Organelle Membrane
7269,MTOR,P42345,Pml Body
7270,MTOR,P42345,Golgi Membrane
7271,MTOR,P42345,Endoplasmic Reticulum Membrane
7272,MTOR,P42345,Lysosomal Membrane
7273,MTOR,P42345,Nuclear Envelope
7277,MTOR,P42345,Endomembrane System
7279,MTOR,P42345,Membrane
7288,MTOR,P42345,Cytosol
7307,MTOR,P42345,Nucleoplasm
7308,MTOR,P42345,Postsynaptic Cytosol
7309,MTOR,P42345,Glutamatergic Synapse
7310,MTOR,P42345,Neuronal Cell Body
7311,MTOR,P42345,Protein-Containing Complex
7312,MTOR,P42345,Dendrite
7322,MUSK,O15146,Postsynaptic Membrane
7323,MUSK,O15146,Neuromuscular Junction
7324,MUSK,O15146,Integral Component Of Plasma Membrane
7325,MUSK,O15146,Receptor Complex
7328,MUSK,O15146,Cell Junction
7329,MUSK,O15146,Membrane
7330,MUSK,O15146,Plasma Membrane
7332,MUSK,O15146,Synapse
7333,MUSK,O15146,Integral Component Of Membrane
7336,MYLK,Q15746,Cytoplasm
7337,MYLK,Q15746,Cytoskeleton
7338,MYLK,Q15746,Lamellipodium
7339,MYLK,Q15746,Cleavage Furrow
7345,MYLK,Q15746,Stress Fiber
7350,MYLK,Q15746,Cytosol
7353,MYLK,Q15746,Actin Cytoskeleton
7354,MYLK,Q15746,Plasma Membrane
7355,MYLK,Q15746,Cell Projection
7357,MYLK2,Q9H1R3,Sarcomere
7358,MYLK2,Q9H1R3,Cytoplasm
7359,MYLK2,Q9H1R3,Nucleus
7361,MYLK2,Q9H1R3,Synapse
7365,MYLK3,Q32MK0,Cytoplasm
7366,MYLK3,Q32MK0,Cytosol
7368,MYLK3,Q32MK0,Actin Cytoskeleton
7377,MYO3A,Q8NEV4,Cytoskeleton
7378,MYO3A,Q8NEV4,Myosin Complex
7379,MYO3A,Q8NEV4,Cytoplasm
7381,MYO3A,Q8NEV4,Filopodium Tip
7383,MYO3A,Q8NEV4,Stereocilium
7384,MYO3A,Q8NEV4,Stereocilium Tip
7387,MYO3A,Q8NEV4,Filamentous Actin
7388,MYO3A,Q8NEV4,Filopodium
7390,MYO3A,Q8NEV4,Cell Projection
7392,MYO3B,Q8WXR4,Myosin Complex
7393,MYO3B,Q8WXR4,Cytoskeleton
7395,MYO3B,Q8WXR4,Cytoplasm
7396,MYO3B,Q8WXR4,Cell Projection
7397,MYO3B,Q8WXR4,Stereocilium
7399,MYO3B,Q8WXR4,Stereocilium Tip
7401,NEK1,Q96PY6,Centrosome
7402,NEK1,Q96PY6,Pericentriolar Material
7403,NEK1,Q96PY6,Cytoplasm
7405,NEK1,Q96PY6,Nucleus
7406,NEK1,Q96PY6,Centriolar Satellite
7407,NEK1,Q96PY6,Cytosol
7408,NEK1,Q96PY6,Nucleoplasm
7409,NEK1,Q96PY6,Cytoskeleton
7413,NEK1,Q96PY6,Microtubule Organizing Center
7416,NEK10,Q6ZWH5,Protein Kinase Complex
7418,NEK11,Q8NG66,Nucleolus
7419,NEK11,Q8NG66,Centrosome
7420,NEK11,Q8NG66,Cytoplasm
7421,NEK11,Q8NG66,Nucleoplasm
7424,NEK11,Q8NG66,Nucleus
7427,NEK2,P51955,Microtubule
7428,NEK2,P51955,Cytoskeleton
7429,NEK2,P51955,Cytoplasm
7430,NEK2,P51955,Chromosome
7431,NEK2,P51955,Centromeric Region
7432,NEK2,P51955,Nucleus
7433,NEK2,P51955,Kinetochore
7437,NEK2,P51955,Microtubule Organizing Center
7439,NEK2,P51955,Condensed Chromosome Kinetochore
7440,NEK2,P51955,Nucleolus
7442,NEK2,P51955,Spindle Pole
7443,NEK2,P51955,Centrosome
7445,NEK2,P51955,Protein-Containing Complex
7451,NEK2,P51955,Cytosol
7477,NEK2,P51955,Nucleoplasm
7478,NEK2,P51955,Midbody
7480,NEK2,P51955,Condensed Nuclear Chromosome
7482,NEK3,P51956,Nucleus
7483,NEK3,P51956,Cytoplasm
7485,NEK3,P51956,Cell Projection
7486,NEK3,P51956,Axon
7488,NEK4,P51957,Cytoplasm
7490,NEK4,P51957,Cytosol
7491,NEK4,P51957,Ciliary Plasm
7492,NEK4,P51957,Ciliary Basal Body
7493,NEK4,P51957,Ciliary Transition Zone
7494,NEK4,P51957,Ciliary Rootlet
7496,NEK4,P51957,Cell Projection
7497,NEK4,P51957,Cilium
7502,NEK6,Q9HC98,Cytoplasm
7503,NEK6,Q9HC98,Cytoskeleton
7505,NEK6,Q9HC98,Microtubule
7506,NEK6,Q9HC98,Nucleus
7507,NEK6,Q9HC98,Microtubule Organizing Center
7508,NEK6,Q9HC98,Nuclear Speck
7510,NEK6,Q9HC98,Spindle Pole
7512,NEK6,Q9HC98,Centrosome
7513,NEK6,Q9HC98,Protein-Containing Complex
7516,NEK6,Q9HC98,Cytosol
7519,NEK6,Q9HC98,Intracellular Membrane-Bounded Organelle
7520,NEK6,Q9HC98,Centriolar Satellite
7522,NEK6,Q9HC98,Nucleoplasm
7524,NEK7,Q8TDX7,Cytoplasm
7525,NEK7,Q8TDX7,Nucleoplasm
7527,NEK7,Q8TDX7,Nucleus
7529,NEK7,Q8TDX7,Microtubule
7530,NEK7,Q8TDX7,Cytoskeleton
7534,NEK7,Q8TDX7,Microtubule Organizing Center
7535,NEK7,Q8TDX7,Spindle Pole
7537,NEK8,Q86SG6,Cilium
7540,NEK8,Q86SG6,Centrosome
7541,NEK8,Q86SG6,Cytoplasm
7542,NEK8,Q86SG6,Ciliary Base
7543,NEK8,Q86SG6,Ciliary Inversin Compartment
7545,NEK8,Q86SG6,Cytoskeleton
7547,NEK8,Q86SG6,Cell Projection
7550,NEK8,Q86SG6,Microtubule Organizing Center
7554,NEK9,Q8TD19,Centrosome
7555,NEK9,Q8TD19,Cytosol
7560,NEK9,Q8TD19,Nucleus
7561,NEK9,Q8TD19,Cytoplasm
7565,NIM1K,Q8IY84,Cytoplasm
7566,NIM1K,Q8IY84,Nucleus
7568,NLK,Q9UBE8,Nucleus
7569,NLK,Q9UBE8,Cytoplasm
7576,NLK,Q9UBE8,Cytosol
7579,NLK,Q9UBE8,Nucleoplasm
7583,NPR1,P16066,Plasma Membrane
7585,NPR1,P16066,Receptor Complex
7587,NPR1,P16066,Integral Component Of Membrane
7589,NPR1,P16066,Membrane
7592,NPR2,P20594,Integral Component Of Plasma Membrane
7593,NPR2,P20594,Plasma Membrane
7598,NPR2,P20594,Integral Component Of Membrane
7600,NPR2,P20594,Membrane
7604,NRBP1,Q9UHY1,Endomembrane System
7606,NRBP1,Q9UHY1,Cytoplasm
7607,NRBP1,Q9UHY1,Nucleoplasm
7608,NRBP1,Q9UHY1,Membrane
7609,NRBP1,Q9UHY1,Cell Projection
7611,NRBP1,Q9UHY1,Lamellipodium
7612,NRBP1,Q9UHY1,Cell Cortex
7615,NRBP2,Q9NSY0,Cytoplasm
7616,NRBP2,Q9NSY0,Endomembrane System
7621,NRK,Q7Z2Y5,Cytoplasm
7623,NTRK1,P04629,Integral Component Of Plasma Membrane
7625,NTRK1,P04629,Protein-Containing Complex
7627,NTRK1,P04629,Plasma Membrane
7628,NTRK1,P04629,Late Endosome
7629,NTRK1,P04629,Early Endosome
7630,NTRK1,P04629,Receptor Complex
7631,NTRK1,P04629,Axon
7633,NTRK1,P04629,Endosome Membrane
7645,NTRK1,P04629,Golgi Membrane
7647,NTRK1,P04629,Recycling Endosome
7648,NTRK1,P04629,Neuronal Cell Body
7650,NTRK1,P04629,Cytoplasmic Vesicle
7651,NTRK1,P04629,Dendrite
7653,NTRK1,P04629,Cell Surface
7661,NTRK1,P04629,Cytoplasm
7663,NTRK1,P04629,Membrane
7664,NTRK1,P04629,Integral Component Of Membrane
7666,NTRK1,P04629,Endosome
7668,NTRK1,P04629,Early Endosome Membrane
7669,NTRK1,P04629,Recycling Endosome Membrane
7670,NTRK1,P04629,Late Endosome Membrane
7674,NTRK2,Q16620,Integral Component Of Plasma Membrane
7675,NTRK2,Q16620,Membrane
7676,NTRK2,Q16620,Cell Junction
7677,NTRK2,Q16620,Cell Projection
7678,NTRK2,Q16620,Integral Component Of Membrane
7679,NTRK2,Q16620,Cytoplasm
7680,NTRK2,Q16620,Synapse
7681,NTRK2,Q16620,Plasma Membrane
7682,NTRK2,Q16620,Endosome
7684,NTRK2,Q16620,Endosome Membrane
7685,NTRK2,Q16620,Early Endosome Membrane
7686,NTRK2,Q16620,Perinuclear Region Of Cytoplasm
7687,NTRK2,Q16620,Axon
7689,NTRK2,Q16620,Postsynaptic Density
7690,NTRK2,Q16620,Dendrite
7695,NTRK2,Q16620,Early Endosome
7697,NTRK2,Q16620,Axon Terminus
7698,NTRK2,Q16620,Receptor Complex
7699,NTRK2,Q16620,Dendritic Spine
7707,NTRK2,Q16620,Golgi Membrane
7709,NTRK2,Q16620,Terminal Bouton
7712,NTRK2,Q16620,Cytosol
7716,NTRK3,Q16288,Integral Component Of Plasma Membrane
7717,NTRK3,Q16288,Receptor Complex
7718,NTRK3,Q16288,Axon
7720,NTRK3,Q16288,Plasma Membrane
7727,NTRK3,Q16288,Integral Component Of Postsynaptic Membrane
7728,NTRK3,Q16288,Glutamatergic Synapse
7729,NTRK3,Q16288,Membrane
7731,NTRK3,Q16288,Cytoplasm
7735,NTRK3,Q16288,Integral Component Of Membrane
7738,NUAK1,O60285,Cytoplasm
7739,NUAK1,O60285,Nucleus
7746,NUAK1,O60285,Nucleoplasm
7749,NUAK1,O60285,Microtubule Cytoskeleton
7751,NUAK1,O60285,Fibrillar Center
7753,NUAK2,Q9H093,Cytoplasm
7754,NUAK2,Q9H093,Nucleus
7756,OBSCN,Q5VST9,M Band
7758,OBSCN,Q5VST9,Z Disc
7759,OBSCN,Q5VST9,Myofibril
7760,OBSCN,Q5VST9,Cytosol
7763,OBSCN,Q5VST9,Nuclear Body
7764,OBSCN,Q5VST9,Plasma Membrane
7766,OBSCN,Q5VST9,Nucleus
7768,OBSCN,Q5VST9,Cytoplasm
7769,OBSCN,Q5VST9,Membrane
7771,OBSCN,Q5VST9,Sarcolemma
7775,OXSR1,O95747,Extracellular Exosome
7776,OXSR1,O95747,Cytoplasm
7777,OXSR1,O95747,Cytosol
7781,PAK1,Q13153,Cytoplasm
7782,PAK1,Q13153,Nucleoplasm
7783,PAK1,Q13153,Protein-Containing Complex
7785,PAK1,Q13153,Invadopodium
7786,PAK1,Q13153,Plasma Membrane
7789,PAK1,Q13153,Nuclear Membrane
7790,PAK1,Q13153,Actin Filament
7791,PAK1,Q13153,Dendrite
7792,PAK1,Q13153,Axon
7793,PAK1,Q13153,Z Disc
7794,PAK1,Q13153,Intercalated Disc
7795,PAK1,Q13153,Cell-Cell Junction
7796,PAK1,Q13153,Ruffle
7802,PAK1,Q13153,Cytosol
7841,PAK1,Q13153,Lamellipodium
7843,PAK1,Q13153,Membrane
7850,PAK1,Q13153,Cell Projection
7852,PAK1,Q13153,Nucleus
7853,PAK1,Q13153,Chromosome
7854,PAK1,Q13153,Cell Junction
7855,PAK1,Q13153,Ruffle Membrane
7856,PAK1,Q13153,Focal Adhesion
7863,PAK2,Q13177,Membrane
7864,PAK2,Q13177,Nucleus
7865,PAK2,Q13177,Cytoplasm
7867,PAK2,Q13177,Perinuclear Region Of Cytoplasm
7870,PAK2,Q13177,Cell-Cell Junction
7872,PAK2,Q13177,Cytosol
7874,PAK2,Q13177,Plasma Membrane
7898,PAK2,Q13177,Glutamatergic Synapse
7899,PAK2,Q13177,Postsynaptic Density
7901,PAK3,O75914,Cytoplasm
7902,PAK3,O75914,Plasma Membrane
7904,PAK3,O75914,Cytosol
7921,PAK3,O75914,Endosome
7922,PAK3,O75914,Glutamatergic Synapse
7923,PAK3,O75914,Postsynaptic Density
7925,PAK4,O96013,Adherens Junction
7926,PAK4,O96013,Focal Adhesion
7927,PAK4,O96013,Golgi Apparatus
7928,PAK4,O96013,Cytoplasm
7932,PAK5,Q9P286,Cytoplasm
7933,PAK5,Q9P286,Nucleoplasm
7934,PAK5,Q9P286,Synapse
7935,PAK5,Q9P286,Mitochondrion
7938,PAK5,Q9P286,Nucleus
7943,PAK6,Q9NQU5,Cytoplasm
7944,PAK6,Q9NQU5,Cell Junction
7945,PAK6,Q9NQU5,Nucleoplasm
7946,PAK6,Q9NQU5,Fibrillar Center
7947,PAK6,Q9NQU5,Nucleus
7952,PAN3,Q58A45,Pan Complex
7954,PAN3,Q58A45,P-Body
7955,PAN3,Q58A45,Cytosol
7961,PAN3,Q58A45,Cytoplasm
7963,PASK,Q96RG2,Cytoplasm
7964,PASK,Q96RG2,Nucleus
7965,PASK,Q96RG2,Cytosol
7974,PBK,Q96KB5,Nucleus
7976,PDGFRA,P16234,Cilium
7977,PDGFRA,P16234,Golgi Apparatus
7978,PDGFRA,P16234,Membrane
7979,PDGFRA,P16234,Integral Component Of Plasma Membrane
7980,PDGFRA,P16234,Intrinsic Component Of Plasma Membrane
7981,PDGFRA,P16234,Cytoplasm
7982,PDGFRA,P16234,Nucleus
7983,PDGFRA,P16234,Receptor Complex
7985,PDGFRA,P16234,Plasma Membrane
8007,PDGFRA,P16234,Protein-Containing Complex
8008,PDGFRA,P16234,Cell Junction
8010,PDGFRA,P16234,Nucleoplasm
